171,259,24,152,152,101,184,54,1,16,115,169,77,996,425,1,240,40,87,2,49,16,5,2,146,218,132,19,190,85,3,383,61,302,448,93,89,652,5698,125,222,185,21,36,68,53,558,134,119,8,195,171,4747,72,32,28,71,439,24,97,151,238,58,231,61,363,309,284,130,28,16,27,1322,172,39,227,665,71,12,78,49,36
180,301,26,180,161,101,253,60,1,16,171,223,140,1090,536,1,274,56,87,2,63,22,5,2,174,242,146,32,228,103,3,414,61,504,785,126,123,1139,7402,149,249,186,21,38,95,82,674,158,139,8,195,274,5823,80,32,31,71,439,24,128,151,434,111,277,74,395,320,302,144,28,29,36,1524,181,39,311,733,86,17,84,50,38
220,359,37,207,195,165,278,75,1,16,205,292,203,1221,634,1,402,66,105,2,77,22,7,2,186,264,162,38,331,131,3,442,75,655,1020,136,131,1359,9217,177,303,204,34,39,110,93,786,177,170,12,195,344,6566,80,41,53,101,452,25,158,162,537,199,378,81,416,338,343,147,44,47,36,1729,205,44,369,779,111,25,115,59,38
250,358,48,222,204,168,342,89,1,16,225,557,335,1333,749,1,554,75,123,2,96,30,7,2,197,293,179,49,331,167,3,480,79,860,1280,166,158,2200,10827,199,384,216,72,47,139,118,901,201,186,20,210,392,7161,104,61,136,110,460,27,266,200,632,367,470,97,480,350,380,216,44,73,51,1936,227,48,450,830,124,27,136,90,38
330,486,54,246,205,179,410,114,1,16,258,683,484,1463,901,1,709,75,144,2,115,52,7,3,212,331,214,57,387,187,3,528,100,1018,1600,176,184,2200,13531,231,384,226,112,50,141,164,989,231,212,28,214,511,8042,112,61,236,116,470,28,301,321,746,506,491,107,580,369,435,228,53,73,51,2140,266,48,514,860,139,36,160,90,38
409,542,60,261,205,190,438,173,1,16,267,785,670,1550,1051,1,927,91,148,2,143,73,7,15,223,346,230,65,418,226,20,562,126,1332,2060,191,260,2700,15679,263,457,269,202,61,172,203,1181,263,233,39,214,562,9000,123,77,299,124,481,28,387,372,922,789,539,115,635,386,464,270,65,97,69,2350,342,48,579,889,180,49,194,135,43
473,542,74,282,214,194,491,197,1,16,283,906,798,1746,1221,1,1170,91,171,2,170,111,8,15,243,359,262,81,418,261,62,632,155,1646,2362,237,277,3028,18135,298,659,292,245,61,219,251,1181,295,269,52,228,767,10075,130,93,454,154,494,28,387,621,1142,981,608,123,671,400,531,280,72,145,76,2551,457,49,686,910,197,83,235,135,43
568,621,87,288,214,218,529,227,1,16,306,1125,875,1914,1389,1,1187,139,171,2,225,121,12,49,259,399,320,105,495,300,155,684,213,2013,2995,258,308,4075,20921,353,741,314,312,70,222,316,1317,314,288,102,256,900,11364,142,110,501,164,501,28,502,793,1306,1082,702,132,852,406,584,298,87,196,76,2738,520,51,790,934,221,143,249,150,43
588,661,90,302,287,245,529,278,1,16,326,1329,1099,2118,1638,1,1280,139,216,6,275,128,12,55,277,422,356,128,530,343,229,730,218,2388,3544,323,367,5294,23934,423,785,336,392,77,264,367,1475,330,320,102,278,1012,12729,148,110,730,192,526,28,589,1021,1610,1173,798,139,950,415,662,339,93,310,81,2929,545,54,893,950,244,179,265,187,46
648,690,139,318,313,261,570,312,1,16,352,1564,1333,2385,1862,1,1326,193,224,13,345,144,21,59,304,457,396,206,624,408,322,756,250,2814,4268,368,433,6575,27069,505,900,363,488,87,268,405,1673,347,350,155,285,1104,13938,159,120,776,208,537,29,690,1546,1909,1403,906,157,1065,424,697,377,122,356,81,3100,582,56,1046,962,280,209,290,214,50
