0,0.0023231,0,0,0,0,0,0,0.0011616,0.0046463,0,0,0,0.0058079,0,0.0011616,0,0,0,0.0023231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0023231,0,0.0011616,0,0,0,0,0.0011616,0.0069694,0.02207,0,0.0034847,0,0,0.0023231,0,0,0,0,0.0046463,0.0011616,0,0,0.0011616,0,0,0,0,0.0023231,0,0.0092926,0,0.0023231,0.0034847,0.010454,0,0,0.0092926,0.0023231,0,0,0,0.016262,0,0,0.031362,0.0011616,0.0034847,0.031362,0.0023231,0,0.0011616,0,0,0,0.0034847,0,0.0011616,0.0046463,0,0.0023231,0.0011616,0,0.0023231,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0.013939,0,0,0,0,0
0,0.0011616,0,0.0011616,0,0.0011616,0.0011616,0.0034847,0.0011616,0.0034847,0,0,0,0,0,0,0,0,0.0011616,0.016262,0.0034847,0,0,0.0023231,0,0,0,0,0,0,0.0046463,0,0,0.0011616,0.0023231,0,0,0.0011616,0.0069694,0,0,0,0,0,0,0,0,0,0,0,0,0.0023231,0,0,0.0011616,0,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011616,0,0,0,0,0
0,0,0.0011616,0,0.0011616,0.0092926,0.008131,0.0011616,0.0046463,0,0,0,0,0,0,0,0,0,0.0034847,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0011616,0,0.0092926,0,0,0,0.0011616,0,0,0,0,0,0,0.0011616,0,0,0.0011616,0.0011616,0,0,0.0011616,0,0,0,0,0,0,0.0011616,0,0,0,0.0011616,0,0,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0011616,0.0092926,0.008131,0,0,0.0011616,0.0046463,0,0,0,0,0,0,0,0,0.0011616,0.0023231,0,0.0011616,0.0023231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0011616,0.0092926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0034847,0.0011616,0,0.0011616,0,0,0.0046463,0.03717,0,0,0.0023231,0,0,0,0,0,0.0011616,0.0023231,0.0023231,0,0,0.0023231,0,0,0,0,0,0,0.0092926,0,0,0.0011616,0.0011616,0,0,0.0069694,0.0023231,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0.0034847,0,0.0011616,0.0023231,0,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011616,0.008131,0.0011616,0.0046463,0,0.0034847,0,0.0046463,0,0.017424,0.0023231,0.0034847,0,0.0034847,0.0069694,0.008131,0,0.010454,0,0.06621,0.025555,0,0,0.0023231,0,0.0046463,0.0023231,0.0058079,0.023231,0.0034847,0.051109,0.0034847,0.0023231,0.0023231,0.020908,0,0.0046463,0.0069694,0.0092926,0,0.0023231,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0.0011616,0,0,0.0011616,0,0,0,0,0,0,0,0,0,0,0,0,0.0023231,0,0,0,0,0,0.0023231,0.0023231,0.0058079,0,0,0
0.0046463,0.02207,0.0034847,0,0.0011616,0,0,0.03717,0.017424,0,0.0023231,0.02207,0.010454,0.030201,0.051109,0.033686,0.0069694,0,0,0.4112,0.023231,0,0,0.020908,0.0023231,0.012777,0.0092926,0.06621,0.20444,0.012777,0.25671,0.0046463,0.013939,0.077825,0.074341,0.0046463,0.017424,0.048786,0.14868,0.0023231,0.029039,0,0.008131,0,0,0.0046463,0,0,0.0046463,0,0.0011616,0.011616,0.0058079,0.0023231,0.0034847,0,0.0058079,0.010454,0.0046463,0.0011616,0.0092926,0,0,0.0023231,0,0,0,0.0046463,0,0.0034847,0.013939,0.0046463,0.0011616,0.0011616,0,0,0.02207,0.016262,0.008131,0,0,0
