179,300,25,179,158,100,252,59,0,15,170,222,139,1089,535,0,273,55,85,1,62,21,4,1,172,238,144,31,227,101,1,412,60,502,783,124,122,1138,7401,148,248,185,20,37,93,81,673,157,136,7,194,273,5821,79,31,29,70,438,23,127,150,433,105,276,72,394,316,298,141,25,28,35,1509,180,36,309,732,85,16,83,49,36
219,358,36,206,192,164,277,74,0,15,204,291,202,1220,633,0,401,65,103,1,76,21,6,1,184,260,160,37,330,129,1,440,74,653,1018,134,130,1358,9216,176,302,203,33,38,108,92,785,176,167,11,194,343,6564,79,40,51,100,451,24,157,161,536,193,377,79,415,334,339,144,41,46,35,1714,204,41,367,778,110,24,114,58,36
249,357,47,221,201,167,341,88,0,15,224,556,334,1332,748,0,553,74,121,1,95,29,6,1,195,289,177,48,330,165,1,478,78,858,1278,164,157,2199,10826,198,383,215,71,46,137,117,900,200,183,19,209,391,7159,103,60,134,109,459,26,265,199,631,361,469,95,479,346,376,213,41,72,50,1921,226,45,448,829,123,26,135,89,36
329,485,53,245,202,178,409,113,0,15,257,682,483,1462,900,0,708,74,142,1,114,51,6,2,210,327,212,56,386,185,1,526,99,1016,1598,174,183,2199,13530,230,383,225,111,49,139,163,988,230,209,27,213,510,8040,111,60,234,115,469,27,300,320,745,500,490,105,579,365,431,225,50,72,50,2125,265,45,512,859,138,35,159,89,36
408,541,59,260,202,189,437,172,0,15,266,784,669,1549,1050,0,926,90,146,1,142,72,6,14,221,342,228,64,417,224,18,560,125,1330,2058,189,259,2699,15678,262,456,268,201,60,170,202,1180,262,230,38,213,561,8998,122,76,297,123,480,27,386,371,921,783,538,113,634,382,460,267,62,96,68,2335,341,45,577,888,179,48,193,134,41
472,541,73,281,211,193,490,196,0,15,282,905,797,1745,1220,0,1169,90,169,1,169,110,7,14,241,355,260,80,417,259,60,630,154,1644,2360,235,276,3027,18134,297,658,291,244,60,217,250,1180,294,266,51,227,766,10073,129,92,452,153,493,27,386,620,1141,975,607,121,670,396,527,277,69,144,75,2536,456,46,684,909,196,82,234,134,41
567,620,86,287,211,217,528,226,0,15,305,1124,874,1913,1388,0,1186,138,169,1,224,120,11,48,257,395,318,104,494,298,153,682,212,2011,2993,256,307,4074,20920,352,740,313,311,69,220,315,1316,313,285,101,255,899,11362,141,109,499,163,500,27,501,792,1305,1076,701,130,851,402,580,295,84,195,75,2723,519,48,788,933,220,142,248,149,41
587,660,89,301,284,244,528,277,0,15,325,1328,1098,2117,1637,0,1279,138,214,5,274,127,11,54,275,418,354,127,529,341,227,728,217,2386,3542,321,366,5293,23933,422,784,335,391,76,262,366,1474,329,317,101,277,1011,12727,147,109,728,191,525,27,588,1020,1609,1167,797,137,949,411,658,336,90,309,80,2914,544,51,891,949,243,178,264,186,44
647,689,138,317,310,260,569,311,0,15,351,1563,1332,2384,1861,0,1325,192,222,12,344,143,20,58,302,453,394,205,623,406,320,754,249,2812,4266,366,432,6574,27068,504,899,362,487,86,266,404,1672,346,347,154,284,1103,13936,158,119,774,207,536,28,689,1545,1908,1397,905,155,1064,420,693,374,119,355,80,3085,581,53,1044,961,279,208,289,213,48
736,753,200,344,375,322,583,311,1,15,368,1818,1452,2620,2054,1,1352,232,244,14,401,163,20,59,331,481,424,253,694,445,451,800,303,3580,5168,418,575,7473,30216,590,1059,399,580,94,296,474,1800,374,393,204,304,1202,14989,175,132,873,213,548,29,744,1923,2138,1589,1064,181,1322,452,723,416,162,474,85,3251,623,58,1153,972,304,273,328,297,48
